6250 - Cunningham, Craig
854 - Cunti, Luca
7842 - Curcuruto, Gianluca
6993 - Currie, Josh
2073 - Curry, John
1911 - Curry, Sean
6296 - Curtis, Michael
5093 - Cutta, Jakub
6569 - Cutting, Keevin
6801 - Cuzner, Brad
3185 - Cygan, Tomasz
6614 - Czarnik, Robbie
5873 - Czerwonka, Drew
7864 - Czinder, Nick
8486 - Da Costa, Stephane
7649 - Daae, Austin
4501 - Dadonov, Evgenii
6603 - D'Agostini, Andrew
1956 - D'Agostini, Matt
8630 - Dahlroth, Jesper
5337 - Dahm, Sebastian
9299 - Dainton, Paul
3188 - Dakeev, Pavel
8940 - Dale, Daniel
195 - Daley, Trevor
7127 - Dallaire, Olivier
1128 - Dallman, Kevin
8945 - Dallman, Tyson
7502 - Dalpe, Zac
8462 - D'Amigo, Jerry
7152 - Danault, Phillip
3192 - Danielsmeier, Collin
3195 - Danielsson, Nicklas 
1192 - Danis, Yann
4511 - Danis-Pepin, Simon
3197 - Danner, Simon
8601 - Dansk, Oscar
7615 - Danyluk, Shane
4490 - Daoust, Jean-Michel
6951 - Daoust, Olivier
1412 - Darche, Mathieu
6780 - Darveau, Simon
2485 - Daschner, Stephan
1743 - DaSilva, Dan
201 - Datsyuk, Pavel
5231 - Daugavins, Kaspars
399 - Dauls, Arturs
3199 - Daumont, Charles
2287 - D'Aversa, Jon
6123 - Davidson, Brandon
3201 - Davidsson, Johan
8773 - Davies, Mike
1966 - Davis, Patrick
9123 - Davis, Robert
202 - Davison, Rob
1295 - Dawes, Nigel
9305 - Day, Brian
6530 - de Haan, Calvin
8885 - De Leo, Chase
9269 - De Simone, Phil
9220 - Dea, Jean-Sébastien
7629 - Deagle, Brad
9093 - DeAngelo, Anthony
7550 - Dech, Ryan
9306 - DeFazio, Brandon
7984 - DeFulviis, Robbie
1768 - Degon, Marvin
7433 - Dehner, Jeremy
4627 - Dej, Rastislav
5280 - Dekanich, Mark
8795 - Del Monte, Ryan
379 - Del Zotto, Michael
8355 - Delisle, Carl-Antoine
7048 - Delisle, Steven
7027 - Delisle-Houde, Patrick
6277 - Della Rovere, Stefan
6882 - Delmas, Peter
207 - Delmore, Andy
3205 - Dembski, Janusz
2867 - Demel, Tomas
6473 - DeMelo, Dylan
5343 - Demers, Jason
9083 - Dempsey, Mitchell
5689 - Demuth, Alain
4702 - Denisov, Denis
2170 - Denisov, Vladimir
9231 - Deon, Dale
5826 - DePape, Jordan
7676 - Derko, Josh
9312 - Derlyuk, Roman
2908 - Derner, Lukas
5540 - Déruns, Thomas
5295 - DeSantis, Jason
9053 - Desautels, Adam
1753 - Desbiens, Guillaume
9581 - Desbiens, Simon
6948 - Deschamps, Nicolas
8846 - Descheneau, Jaedon
4461 - Desharnais, David
5644 - Desjardins, Andrew
2500 - Desjardins, Cedrick
6894 - Desjardins, Gabriel
