,Overall,Even Strength,Power Play,Shorthanded,,,,,,,,,,,,,,,,,
KLIM KOSTIN,,R,27.1,,35,63.41,10.18,2.69,1.14,58.23,10.23,2.58,1.12,4.88,9.35,0.7,0.44,0,0,0.17,0.17
ALEXANDRE TEXIER,,L,26.7,MTL,31,62.95,9.76,2.78,1.07,58.86,9.84,2.69,1.02,3.79,8.71,0.44,0.32,0.3,8.5,0.16,0.13
ERIK BRANNSTROM,,D,26.8,,28,62.94,9.03,3.22,1.16,58.93,9.07,2.76,1.14,2.44,9.51,0.51,0.45,1.57,7.19,0.2,0.16
ADAM WILSBY,,D,25.8,NSH,23,62.77,9.05,3.38,1.26,58.11,9.15,3.3,1.26,0.16,10.93,0.12,0.12,4.5,7.89,0.41,0.34
MARC GATCOMB,,R,26.9,NYI,39,62.73,9.86,2.27,0.9,62.41,9.86,2.27,0.9,0.32,10.12,0.14,0.14,0,0,0,0
JESSE PULJUJARVI,,R,28.1,,31,61.92,10.17,2.68,1.04,56.97,10.18,2.53,0.98,4.95,10.01,0.57,0.32,0,0,0,0
MATT NIETO,,L,33.6,,32,61.74,9.45,2.42,0.99,52.12,9.62,2.4,0.95,0,0,0.08,0.07,9.37,8.56,0.68,0.33
DANIEL SPRONG,,R,29.2,,30,61.54,10.09,3,1.32,54.22,10.28,2.58,1.08,7.33,8.88,0.54,0.38,0,0,0,0
BRETT BERARD,,R,23.7,NYR,35,60.93,9.75,2.67,1.01,60.54,9.77,2.66,1.01,0.38,7.42,0.25,0.15,0,7.82,0,0
SIMON NEMEC,,D,22.3,N.J,27,60.67,9,3.18,1.3,56.17,9.06,2.91,1.16,2.4,9.05,0.49,0.29,2.1,7.67,0.33,0.14
ETHAN DEL MASTRO,,D,23.4,CHI,24,60.44,8.25,3.06,1.19,59.59,8.27,3,1.19,0.12,7.25,0.08,0.08,0.73,6.87,0.16,0.14
BRENDAN SMITH,,D,37.3,CBJ,32,60.3,8.56,2.39,0.99,56.56,8.68,2.37,0.91,0.16,6.86,0.06,0.06,3.58,7.03,0.38,0.28
ROSS JOHNSTON,,L,32.3,ANA,43,59.49,9.55,2.01,0.95,59.33,9.54,2.01,0.95,0,0,0.06,0.06,0,0,0,0
DEREK RYAN,,C,39.4,,36,58.44,10.41,2.24,0.91,56.8,10.48,2.11,0.91,0,0,0.02,0.02,1.61,8.47,0.28,0.2
VINNI LETTIERI,,R,31.3,TOR,26,58.16,9.93,2.83,1.04,53.31,9.9,2.54,1.03,4.84,10.3,0.61,0.37,0.01,9.89,0.01,0.01
ELMER SODERBLOM,,L,24.9,PIT,26,58.02,10.01,2.71,1.15,56.55,10.02,2.65,1.07,1.47,9.69,0.37,0.37,0,0,0,0
KEVIN LABANC,,R,30.5,,34,57.66,9.7,2.3,1.03,54.73,9.75,2.3,0.9,2.89,8.76,0.39,0.39,0.04,9.84,0.04,0.04
MATT REMPE,,R,23.9,NYR,42,57.64,9.68,2.27,1,57.3,9.65,2.27,1,0,0,0.17,0.17,0.03,8.58,0.02,0.02
CAM ATKINSON,,R,37.0,,39,57.39,9.82,2.82,1.04,54.42,10.04,2.8,1.04,2.88,6.97,0.32,0.19,0.08,9.84,0.08,0.08
JONAH GADJOVICH,,L,27.6,FLA,42,57.32,9.69,2.19,0.97,56.14,9.74,2.11,0.91,0.74,8.95,0.22,0.22,0.44,6.26,0.2,0.15
AATU RATY,,R,23.6,VAN,33,56.71,9.67,2.49,0.99,55.47,9.71,2.41,0.99,0.8,7.7,0.19,0.19,0.44,10.23,0.1,0.08
JORDAN HARRIS,,D,25.9,BOS,33,55.44,8.85,2.5,1.12,54.77,8.87,2.5,1.12,0.45,8.41,0.25,0.25,0.22,6.98,0.11,0.11
MATTHEW KESSEL,,D,25.9,STL,29,55.13,8.68,3.03,1.31,53.79,8.76,2.9,1.31,0.06,8.46,0.03,0.03,1.27,6.21,0.19,0.13
MARC-EDOUARD VLASIC,,D,39.2,,27,54.82,8.33,2.6,1.06,52.49,8.42,2.58,1.06,0.12,9.26,0.06,0.06,2.21,6.65,0.28,0.21
SPENCER STASTNEY,,D,26.4,EDM,23,53.9,8.69,2.81,1.06,50.18,8.77,2.72,1.03,0.14,8.58,0.05,0.05,3.59,7.77,0.34,0.33
ELIAS PETTERSSON,,D,22.3,VAN,28,53.18,8.89,2.52,1.03,52.04,8.91,2.52,1.03,0.08,9.7,0.04,0.04,1.06,7.93,0.28,0.16
DAVID GUSTAFSSON,,L,26.1,WPG,36,52.95,9.83,2.01,0.88,51.83,9.87,2.01,0.88,0.05,7.3,0.05,0.05,1.07,8.27,0.25,0.13
TYLER SEGUIN,,C,34.3,DAL,20,51.43,9.55,2.91,1.07,42.96,9.7,2.5,1.02,6.33,8.43,0.5,0.36,2.13,10.42,0.23,0.23
OWEN PICKERING,,D,22.4,PIT,25,50.43,8.17,2.91,1.32,46.8,8.35,2.64,1.09,0.08,7.4,0.07,0.06,3.55,6.37,0.57,0.27
MAX SASSON,,L,25.7,VAN,29,50.09,10.03,2.37,0.87,49.92,10.02,2.35,0.87,0,0,0.06,0.06,0.01,6.82,0.01,0.01
COLTON DACH,,L,23.4,EDM,25,49.92,9.88,2.54,1.03,47.73,9.99,2.36,1.03,1.99,8,0.31,0.2,0.21,8.2,0.07,0.07
BROCK MCGINN,,L,32.3,,26,49.61,9.78,2.5,1.04,43.55,9.99,2.22,1.04,0.14,10.12,0.07,0.05,5.92,8.45,0.57,0.36
ADAM KLAPKA,,R,25.7,CGY,31,49.25,9.88,2.85,1.11,48.08,9.91,2.85,1.11,1.16,8.72,0.4,0.22,0,0,0,0
JONATHAN LEKKERIMAKI,,R,21.9,VAN,24,48.44,9.68,2.43,1.06,41.97,9.9,2.21,1.06,6.46,8.49,0.55,0.38,0,0,0,0
NICK DESIMONE,,D,31.5,UTA,20,47.18,9.08,2.85,1.23,46.28,9.13,2.77,1.23,0,0.76,0,0,0.9,7.16,0.3,0.2
FRASER MINTEN,,C,21.9,BOS,21,45.05,9.88,2.63,0.99,41.7,10.1,2.49,0.99,2.28,7.64,0.68,0.36,1.07,8.19,0.41,0.25
HENDRIX LAPIERRE,,L,24.3,WSH,27,44.82,10.17,2.66,1.18,41.8,10.15,2.63,1.18,3.02,10.38,0.7,0.34,0,0,0,0
RYAN REAVES,,R,39.4,S.J,35,43.47,9.55,1.88,0.81,43.37,9.56,1.88,0.81,0.1,7.84,0.04,0.04,0,0,0,0
LIAM OHGREN,,L,22.3,VAN,24,43.3,9.75,2.5,0.93,38.94,9.76,2.31,0.93,4.35,9.63,0.46,0.35,0,0,0.01,0.01
LIAM O'BRIEN,,L,31.8,UTA,28,42.7,9.84,2.02,0.95,42.64,9.84,2.02,0.95,0.06,9.93,0.04,0.04,0,0,0,0
MATT MARTIN,,L,37.1,,32,42.59,9.34,2.25,1.12,42.36,9.33,2.25,1.01,0.23,11.63,0.11,0.11,0,0,0,0
DENNIS GILBERT,,D,29.6,OTT,29,41.56,8.21,2.7,1.06,39.92,8.23,2.68,1.06,0.1,0,0.1,0.1,1.54,7.24,0.26,0.17
ETHEN FRANK,,R,28.3,WSH,24,40.61,9.38,2.37,0.95,38.32,9.38,2.21,0.91,2.29,9.38,0.45,0.26,0,0,0,0
AKIL THOMAS,,C,26.4,STL,25,40.48,9.8,2.15,0.9,40,9.79,2.15,0.9,0.47,10.42,0.3,0.3,0.01,7.71,0.01,0.01
MITCHELL STEPHENS,,C,29.3,SEA,28,40.35,9.37,1.88,0.78,35.35,9.75,1.63,0.78,0,0,0.13,0.13,4.61,7.06,0.51,0.27
MAX JONES,,L,28.3,EDM,26,39.33,9.68,2.24,1.18,39.1,9.69,2.24,1.18,0,0,0,0,0.24,7.91,0.12,0.12
NICOLAS DESLAURIERS,,L,35.3,CAR,31,38.96,9.88,1.95,0.86,38.86,9.88,1.95,0.86,0.1,7.6,0.03,0.03,0,0,0,0
PHILLIP DI GIUSEPPE,,R,32.7,WPG,20,38.1,9.88,2.3,0.99,35.83,9.97,2.16,0.89,0,4.89,0,0,2.27,8.67,0.54,0.28
LINUS KARLSSON,,R,26.5,VAN,23,37.6,8.97,2.08,0.87,35.07,9.08,1.82,0.73,2.53,7.67,0.43,0.28,0,0,0,0
TYSON KOZAK,,C,23.4,BUF,21,37.5,10.21,2.77,1.08,36.6,10.29,2.77,1.08,0.1,9.01,0.04,0.04,0.8,7.83,0.24,0.22
KYLE BURROUGHS,,D,30.9,L.A,33,36.95,8.59,2.59,1.03,35.38,8.63,2.38,1.03,0.23,9.22,0.21,0.21,1.35,7.62,0.39,0.2
BRENNAN OTHMANN,,L,23.4,CGY,22,35.96,9.84,2.18,0.97,35.25,9.86,2.18,0.97,0.71,8.83,0.36,0.23,0,0,0,0
WALKER DUEHR,,R,28.5,WPG,24,35.49,10.08,1.83,0.83,34.63,10.12,1.82,0.83,0.2,8.37,0.08,0.08,0.67,8.79,0.16,0.11
NICOLAS AUBE-KUBEL,,C,30.1,MIN,22,35.42,10.25,2.42,0.96,35.28,10.25,2.4,0.96,0.14,11.39,0.04,0.04,0,0,0,0
BEN JONES,,C,27.3,MIN,26,33.97,9.35,2.23,0.9,33.54,9.38,2.09,0.9,0.02,11.61,0.02,0.02,0.42,7.78,0.14,0.14
JUSTIN KIRKLAND,,C,29.8,CGY,21,33.43,9.84,2.43,0.9,30.41,10.05,2.33,0.9,0.16,11.15,0.09,0.06,2.85,8.05,0.5,0.32
RODRIGO ABOLS,,C,30.4,PHI,22,33.36,9.9,2.19,1.1,33.11,9.87,2.19,1.1,0.1,7.78,0.08,0.08,0,0,0.15,0.15
NIKITA NESTERENKO,,L,24.7,ANA,20,32.87,9.56,2.43,0.94,32.7,9.58,2.43,0.94,0.11,7.7,0.03,0.03,0.06,5.94,0.06,0.06
CHRIS WAGNER,,R,35.0,,28,31.85,9.62,1.82,0.78,29.64,9.69,1.54,0.78,0,0,0,0,2.21,8.71,0.29,0.19
ZACK MACEWEN,,R,29.9,N.J,21,28.63,10.54,2.17,0.83,28.42,10.54,2.08,0.83,0.13,6.54,0.1,0.1,0.08,0,0.08,0.08
JOHN HAYDEN,,C,31.3,SEA,20,28.62,10.09,1.84,0.94,28.09,10.06,1.75,0.87,0,0,0.12,0.12,0.29,9.15,0.23,0.23
MICHAEL PEZZETTA,,L,28.2,TOR,25,25.07,10.14,1.8,0.69,25.04,10.14,1.8,0.69,0,0,0,0,0.03,11.16,0.03,0.03
KURTIS MACDERMID,,L,32.2,OTT,23,21.11,9.53,1.61,0.85,20.96,9.55,1.52,0.85,0.15,7.39,0.09,0.09,0,0,0,0
